Timestamp,Junction_Name,Incoming_North,Outgoing_North,Incoming_South,Outgoing_South,Incoming_East,Outgoing_East,Incoming_West,Outgoing_West,Total_Vehicles,Avg_Speed_kmh,PM2_5_Level,Waiting_Time_Sec,Weather,Citizen_Sentiment,Frustration_Index,Sarvam_AI_Priority
2026-03-26 00:10:00,Nashik Municipal Corporation,93,62,79,129,149,107,44,142,365,40.35,230.04,76.33,Rainy,Impatient,9.17,High
2026-03-03 08:09:00,ITI Signal,130,125,138,43,69,63,43,139,380,50.95,238.39,79.15,Foggy,Impatient,8.85,High
2026-03-21 11:45:00,ITI Signal,20,106,138,122,11,79,98,38,267,33.65,188.41,57.57,Rainy,Impatient,5.83,Normal
2026-03-13 20:55:00,Croma - Inox Signal,93,137,95,91,36,20,10,103,234,44.21,161.97,47.35,Rainy,Neutral,7.62,High
2026-03-01 12:31:00,ITI Signal Post Office,124,116,40,131,71,108,10,92,245,39.84,166.02,48.29,Rainy,Neutral,7.35,High
2026-03-14 11:46:00,Tarwala / MERI Signal,41,26,141,75,50,148,33,65,265,41.16,190.74,42.97,Rainy,Neutral,8.44,High
2026-03-21 22:34:00,"Udyog Bhavan, FDA office",116,102,86,13,88,46,21,20,311,25.41,195.64,68.66,Rainy,Frustrated,9.46,High
2026-03-23 06:14:00,ITI Signal Post Office,107,49,148,65,59,107,120,76,434,36.05,268.6,97.15,Foggy,Anxious,8.51,High
2026-03-28 00:56:00,CBS SIGNAL,124,24,145,28,104,97,105,108,478,18.27,287.51,84.68,Overcast,Impatient,7.02,High
2026-03-04 03:39:00,Nashik Municipal Corporation,133,109,21,75,56,125,50,132,260,20.66,183.81,56.36,Foggy,Impatient,6.6,Normal
2026-03-02 21:09:00,ABB Circle,78,73,141,101,41,116,29,77,289,38.06,192.8,50.12,Clear,Neutral,4.53,Normal
2026-03-28 17:37:00,"Udyog Bhavan, FDA office",60,54,84,74,19,82,89,143,252,22.5,178.07,41.96,Clear,Impatient,5.16,Normal
2026-03-19 09:02:00,ITI Signal,126,25,130,49,58,88,119,13,433,23.68,276.46,91.43,Foggy,Frustrated,7.6,High
2026-03-06 07:38:00,ITI Signal Post Office,85,87,113,16,26,91,111,148,335,13.02,218.3,59.82,Overcast,Neutral,6.82,Normal
2026-03-20 05:32:00,Tarwala / MERI Signal,93,125,104,120,133,51,66,14,396,22.59,252.65,74.99,Rainy,Impatient,10.0,High
2026-03-09 00:12:00,Ashok Stambh,73,51,139,10,62,37,101,133,375,27.78,236.15,66.45,Clear,Impatient,7.35,High
2026-03-07 07:25:00,Croma - Inox Signal,84,79,65,88,22,94,137,91,308,23.4,202.52,73.84,Clear,Anxious,7.68,High
2026-03-12 22:13:00,"Udyog Bhavan, FDA office",31,17,131,55,71,111,132,74,365,44.25,228.6,78.38,Overcast,Anxious,8.56,High
2026-03-14 01:49:00,Ashok Stambh,31,138,150,94,133,17,112,136,426,42.63,253.66,71.04,Rainy,Anxious,8.52,High
2026-03-18 16:54:00,ITI Signal,55,28,58,95,135,126,126,126,374,23.61,231.48,77.62,Rainy,Frustrated,10.0,High
2026-03-19 00:45:00,CBS SIGNAL,83,120,64,38,138,18,92,30,377,53.26,233.36,84.28,Clear,Anxious,8.86,High
2026-03-06 00:14:00,Croma - Inox Signal,22,18,111,92,148,101,135,99,416,51.57,260.28,73.24,Rainy,Impatient,10.0,High
2026-03-26 12:01:00,"Udyog Bhavan, FDA office",133,32,126,102,106,46,32,68,397,39.4,248.79,65.15,Clear,Anxious,7.54,High
2026-03-21 07:52:00,ITI Signal Post Office,100,21,117,18,118,94,37,121,372,32.96,231.92,74.76,Overcast,Frustrated,8.33,High
2026-03-13 21:37:00,Jailroad Signal,32,36,133,133,104,132,27,79,296,21.61,193.08,57.89,Clear,Neutral,4.5,Normal
2026-03-26 21:39:00,Ashok Stambh,70,45,104,23,114,16,95,65,383,39.29,235.75,69.54,Overcast,Impatient,9.76,High
2026-03-23 09:48:00,Jailroad Signal,26,19,146,15,144,115,82,97,398,12.69,244.1,93.3,Foggy,Frustrated,9.13,High
2026-03-25 02:35:00,CBS SIGNAL,137,115,86,107,120,101,144,92,487,11.77,299.27,90.13,Foggy,Frustrated,8.86,High
2026-03-06 17:11:00,ITI Signal,18,29,140,21,67,22,78,40,303,42.5,204.87,62.8,Rainy,Frustrated,9.75,High
2026-03-29 05:45:00,ABB Circle,109,13,20,110,128,36,131,58,388,32.57,251.75,70.7,Foggy,Frustrated,8.96,High
2026-03-24 21:34:00,Nashik Municipal Corporation,135,63,12,115,69,138,40,44,256,33.52,177.58,41.27,Overcast,Neutral,5.99,Normal
2026-03-07 11:35:00,Jailroad Signal,32,13,12,31,131,58,109,15,284,45.93,197.47,54.26,Foggy,Neutral,6.65,Normal
2026-03-16 14:50:00,ITI Signal,137,36,100,73,54,61,89,97,380,16.94,247.25,78.8,Rainy,Impatient,9.97,High
2026-03-04 18:18:00,ITI Signal Post Office,111,39,130,48,78,14,72,74,391,11.93,247.43,84.42,Clear,Anxious,7.41,High
2026-03-11 21:51:00,Jailroad Signal,49,101,71,131,78,88,77,10,275,55.27,195.94,46.83,Clear,Neutral,5.56,Normal
2026-03-28 21:32:00,ITI Signal,56,81,79,123,69,129,49,48,253,49.27,167.6,43.72,Rainy,Impatient,8.37,High
2026-03-21 15:25:00,ABB Circle,66,15,35,148,80,42,58,96,239,22.26,166.52,52.23,Foggy,Neutral,4.1,Normal
2026-03-26 22:42:00,Croma - Inox Signal,45,38,130,47,15,58,28,51,218,44.04,152.77,43.95,Rainy,Impatient,8.46,High
2026-03-29 03:39:00,ITI Signal Post Office,15,114,26,121,139,114,34,20,214,26.25,160.35,46.16,Rainy,Impatient,6.64,Normal
2026-03-26 08:43:00,Jailroad Signal,46,103,62,116,34,22,117,56,259,55.06,175.42,52.77,Rainy,Neutral,7.78,High
2026-03-23 06:31:00,Nashik Municipal Corporation,136,52,95,80,137,142,102,104,470,51.35,287.71,98.06,Rainy,Frustrated,9.59,High
2026-03-04 21:05:00,Jailroad Signal,43,124,37,146,107,49,52,67,239,44.93,166.15,51.56,Rainy,Neutral,6.16,Normal
2026-03-16 06:34:00,ABB Circle,107,100,27,142,139,94,64,31,337,54.31,222.56,80.29,Rainy,Anxious,10.0,High
2026-03-10 08:39:00,CBS SIGNAL,143,46,69,57,25,120,53,141,290,48.85,197.19,48.91,Rainy,Neutral,6.11,Normal
2026-03-12 11:41:00,Jailroad Signal,44,82,31,130,140,35,85,64,300,22.88,202.45,52.33,Foggy,Impatient,4.74,Normal
2026-03-05 03:29:00,Nashik Municipal Corporation,110,55,62,96,56,96,141,15,369,50.54,228.25,67.91,Rainy,Anxious,9.7,High
2026-03-30 21:27:00,ABB Circle,130,12,48,109,43,134,131,143,352,37.67,221.43,75.18,Clear,Frustrated,8.91,High
2026-03-06 14:04:00,Tarwala / MERI Signal,123,28,99,146,57,95,129,104,408,40.29,245.74,65.63,Foggy,Anxious,7.43,High
2026-03-03 07:54:00,Jailroad Signal,142,79,25,43,38,22,97,69,302,38.93,210.16,61.86,Overcast,Anxious,7.45,High
2026-03-20 06:30:00,Nashik Municipal Corporation,99,125,63,137,121,68,122,147,405,32.83,251.34,82.26,Rainy,Frustrated,10.0,High
2026-03-13 09:16:00,Jailroad Signal,121,97,11,110,111,108,141,125,384,15.9,242.59,76.1,Overcast,Impatient,9.04,High
2026-03-27 00:17:00,CBS SIGNAL,11,110,47,26,14,92,90,43,162,46.05,138.63,27.66,Clear,Satisfied,3.77,Normal
2026-03-28 12:20:00,ITI Signal Post Office,15,136,135,47,140,35,89,76,379,46.57,248.99,64.33,Rainy,Anxious,9.35,High
2026-03-15 08:47:00,Ashok Stambh,74,80,127,86,95,127,37,55,333,14.75,216.38,68.56,Overcast,Anxious,8.29,High
2026-03-30 12:50:00,Croma - Inox Signal,77,125,77,38,129,111,108,61,391,28.09,249.48,82.17,Overcast,Anxious,7.76,High
2026-03-12 14:43:00,Ashok Stambh,32,31,118,106,141,137,140,14,431,14.99,264.01,82.08,Overcast,Anxious,9.48,High
2026-03-04 00:17:00,Tarwala / MERI Signal,68,43,98,75,62,136,37,72,265,16.18,188.87,47.95,Foggy,Neutral,4.3,Normal
2026-03-29 06:01:00,Tarwala / MERI Signal,100,40,23,15,15,26,60,52,198,43.78,149.15,37.4,Rainy,Neutral,7.87,High
2026-03-07 10:18:00,ABB Circle,43,10,97,105,11,77,46,118,197,22.92,139.74,46.88,Clear,Neutral,5.18,Normal
2026-03-24 18:09:00,Tarwala / MERI Signal,28,135,18,18,111,100,22,23,179,39.73,137.41,38.47,Foggy,Neutral,6.43,Normal
2026-03-04 22:43:00,Nashik Municipal Corporation,25,124,35,69,145,79,66,15,271,52.88,192.83,60.36,Rainy,Anxious,10.0,High
2026-03-30 01:33:00,ITI Signal,12,129,27,12,61,54,48,67,148,37.4,120.28,31.01,Rainy,Neutral,6.46,Normal
2026-03-06 16:43:00,"Udyog Bhavan, FDA office",47,114,80,61,35,15,14,98,176,22.62,142.92,35.26,Clear,Neutral,6.43,Normal
2026-03-15 07:06:00,Jailroad Signal,84,79,68,100,64,95,70,126,286,14.01,195.73,49.06,Rainy,Neutral,6.38,Normal
2026-03-16 18:07:00,CBS SIGNAL,12,78,130,26,99,75,85,38,326,49.58,210.94,58.54,Clear,Impatient,4.39,Normal
2026-03-07 14:45:00,Tarwala / MERI Signal,29,80,146,113,43,81,80,24,298,45.75,199.96,56.91,Overcast,Neutral,5.25,Normal
2026-03-04 21:46:00,"Udyog Bhavan, FDA office",97,129,120,136,50,74,100,111,367,18.7,229.53,66.75,Overcast,Anxious,8.74,High
2026-03-17 03:22:00,Jailroad Signal,71,47,127,133,136,113,111,106,445,28.8,265.84,78.92,Rainy,Anxious,10.0,High
2026-03-08 03:09:00,Jailroad Signal,60,105,70,10,107,147,84,33,321,11.97,212.5,56.27,Rainy,Impatient,7.91,High
2026-03-14 13:58:00,Croma - Inox Signal,58,131,144,96,89,91,77,139,368,37.44,243.37,79.86,Clear,Anxious,8.96,High
2026-03-28 04:03:00,ABB Circle,64,44,147,16,15,43,72,59,298,30.05,198.02,59.98,Rainy,Neutral,7.01,High
2026-03-01 05:31:00,ITI Signal,121,130,75,19,64,131,146,97,406,28.35,245.31,70.93,Overcast,Frustrated,8.41,High
2026-03-25 13:32:00,ABB Circle,18,94,98,95,138,101,117,54,371,13.67,235.57,62.23,Overcast,Frustrated,8.94,High
2026-03-12 10:21:00,Ashok Stambh,31,24,60,91,42,73,68,93,201,26.77,153.89,43.27,Foggy,Impatient,4.89,Normal
2026-03-09 18:47:00,Croma - Inox Signal,124,52,104,96,127,67,32,61,387,41.66,238.72,84.03,Foggy,Impatient,9.17,High
2026-03-29 08:27:00,Nashik Municipal Corporation,57,109,17,124,38,25,101,42,213,46.06,160.98,38.42,Foggy,Impatient,4.18,Normal
2026-03-22 11:27:00,Ashok Stambh,60,128,24,34,138,31,64,134,286,33.12,197.82,66.93,Rainy,Impatient,10.0,High
2026-03-29 10:03:00,"Udyog Bhavan, FDA office",19,47,105,135,64,142,99,120,287,28.22,194.08,57.94,Clear,Impatient,5.44,Normal
2026-03-12 09:34:00,ITI Signal,83,137,17,96,46,94,98,76,244,28.65,165.04,47.68,Overcast,Impatient,4.78,Normal
2026-03-25 14:27:00,Jailroad Signal,121,106,59,144,78,67,117,44,375,40.51,243.96,82.0,Foggy,Impatient,7.36,High
2026-03-13 03:00:00,CBS SIGNAL,54,144,94,53,26,143,57,51,231,38.64,156.7,44.22,Clear,Impatient,5.88,Normal
2026-03-20 05:54:00,Nashik Municipal Corporation,132,71,91,83,63,62,71,106,357,34.62,235.04,82.59,Overcast,Frustrated,8.88,High
2026-03-20 13:18:00,Jailroad Signal,148,123,55,86,100,58,96,87,399,29.36,248.36,92.83,Overcast,Anxious,8.65,High
2026-03-11 14:48:00,ITI Signal Post Office,74,94,139,124,30,110,106,122,349,50.38,217.53,59.3,Clear,Neutral,5.48,Normal
2026-03-04 03:55:00,ITI Signal,19,33,142,33,19,10,47,150,227,56.48,161.22,47.98,Rainy,Neutral,7.94,High
2026-03-23 11:53:00,ABB Circle,63,30,104,55,26,89,142,138,335,43.1,217.26,66.73,Foggy,Anxious,8.59,High
2026-03-05 07:02:00,ITI Signal Post Office,74,29,142,106,133,97,89,20,438,31.42,259.26,94.18,Clear,Frustrated,9.88,High
2026-03-09 02:09:00,ITI Signal,115,106,63,132,11,127,103,132,292,44.46,189.91,47.39,Rainy,Neutral,7.4,High
2026-03-05 09:27:00,ITI Signal,15,96,13,16,124,136,122,117,274,28.43,189.24,59.72,Overcast,Neutral,4.85,Normal
2026-03-21 15:21:00,Croma - Inox Signal,48,130,76,18,56,24,132,97,312,17.82,208.58,54.72,Overcast,Impatient,5.24,Normal
2026-03-23 14:59:00,"Udyog Bhavan, FDA office",51,77,150,88,23,96,50,84,274,43.95,195.83,60.82,Foggy,Impatient,8.3,High
2026-03-23 08:23:00,Jailroad Signal,123,47,91,31,78,117,102,136,394,36.6,243.21,85.01,Overcast,Impatient,7.28,High
2026-03-23 18:50:00,ABB Circle,129,147,71,91,82,136,40,150,322,50.06,203.04,72.84,Rainy,Frustrated,10.0,High
2026-03-11 18:05:00,"Udyog Bhavan, FDA office",25,81,112,79,57,61,52,56,246,22.58,166.4,39.87,Rainy,Impatient,7.65,High
2026-03-25 08:24:00,Nashik Municipal Corporation,122,56,79,128,94,124,30,78,325,25.27,218.58,62.54,Rainy,Anxious,9.86,High
2026-03-05 19:12:00,ITI Signal Post Office,93,13,15,41,130,149,68,97,306,22.97,193.32,63.93,Overcast,Anxious,7.01,High
2026-03-25 07:51:00,Tarwala / MERI Signal,135,27,100,110,28,147,67,139,330,32.96,222.9,75.94,Clear,Frustrated,7.12,High
2026-03-21 08:09:00,CBS SIGNAL,69,82,58,144,89,110,126,146,342,21.21,218.65,66.31,Rainy,Impatient,10.0,High
2026-03-05 09:49:00,Tarwala / MERI Signal,45,39,100,130,41,111,104,86,290,22.84,193.04,53.37,Overcast,Impatient,4.02,Normal
2026-03-23 09:50:00,Nashik Municipal Corporation,41,67,126,131,138,14,58,68,363,39.76,228.12,86.07,Overcast,Frustrated,8.68,High
2026-03-01 13:45:00,Nashik Municipal Corporation,104,36,97,149,32,58,132,58,365,33.22,241.06,77.37,Rainy,Impatient,9.81,High
2026-03-20 09:10:00,CBS SIGNAL,62,67,140,66,53,86,32,105,287,42.64,203.17,49.77,Foggy,Neutral,4.62,Normal
2026-03-21 03:28:00,Ashok Stambh,114,37,149,22,71,90,63,68,397,42.98,255.2,73.82,Rainy,Anxious,8.65,High
2026-03-16 09:41:00,Tarwala / MERI Signal,149,122,92,150,96,56,20,28,357,14.39,225.26,85.07,Overcast,Frustrated,9.79,High
2026-03-04 07:39:00,ITI Signal Post Office,11,18,44,93,86,129,10,86,151,32.56,134.65,33.95,Foggy,Impatient,5.94,Normal
2026-03-17 13:33:00,Tarwala / MERI Signal,124,47,143,131,37,17,134,34,438,10.8,264.33,83.18,Clear,Anxious,7.38,High
2026-03-19 01:13:00,Croma - Inox Signal,12,101,107,102,99,145,148,50,366,11.42,226.85,81.81,Overcast,Anxious,7.28,High
2026-03-15 03:45:00,"Udyog Bhavan, FDA office",79,72,12,43,133,105,46,126,270,55.58,193.77,61.58,Clear,Impatient,7.94,High
2026-03-21 12:57:00,Croma - Inox Signal,45,107,40,149,37,95,141,62,263,50.53,190.1,62.01,Rainy,Anxious,10.0,High
2026-03-28 22:35:00,Jailroad Signal,82,29,99,47,129,46,32,137,342,14.79,221.79,79.02,Overcast,Impatient,7.76,High
2026-03-26 01:31:00,ABB Circle,74,112,129,116,116,68,85,128,404,18.76,245.38,91.36,Rainy,Anxious,10.0,High
2026-03-03 23:04:00,Croma - Inox Signal,79,18,43,127,89,26,46,118,257,45.06,168.87,43.48,Overcast,Impatient,4.65,Normal
2026-03-15 18:05:00,Nashik Municipal Corporation,28,10,62,14,65,39,125,14,280,47.69,198.16,47.26,Clear,Impatient,5.52,Normal
2026-03-19 04:03:00,Jailroad Signal,134,70,111,150,52,124,93,33,390,30.51,235.99,77.18,Clear,Frustrated,9.55,High
2026-03-06 22:02:00,ITI Signal Post Office,87,33,31,84,140,73,40,75,298,20.61,207.23,52.43,Rainy,Impatient,5.55,Normal
2026-03-27 00:17:00,"Udyog Bhavan, FDA office",128,12,23,64,50,115,46,125,247,36.33,181.45,50.88,Rainy,Impatient,7.2,High
2026-03-08 22:13:00,CBS SIGNAL,128,60,119,107,33,37,130,56,410,32.63,262.75,70.14,Foggy,Frustrated,7.99,High
2026-03-07 07:32:00,CBS SIGNAL,98,40,75,112,42,66,65,38,280,37.03,190.55,49.61,Overcast,Impatient,6.13,Normal
2026-03-05 01:56:00,Croma - Inox Signal,124,103,43,135,79,99,20,108,266,57.06,179.82,51.76,Rainy,Impatient,6.92,Normal
2026-03-21 19:44:00,Tarwala / MERI Signal,99,32,76,112,96,96,90,116,361,19.51,239.0,83.38,Clear,Impatient,9.51,High
2026-03-28 01:40:00,ABB Circle,65,143,16,41,68,109,79,131,228,20.42,164.94,38.59,Rainy,Neutral,6.57,Normal
2026-03-02 03:56:00,"Udyog Bhavan, FDA office",37,139,44,43,78,129,109,64,268,16.32,189.66,44.04,Overcast,Impatient,4.11,Normal
2026-03-03 16:43:00,ABB Circle,87,82,101,52,28,99,124,105,340,47.56,227.23,74.45,Rainy,Frustrated,9.89,High
2026-03-06 18:56:00,Nashik Municipal Corporation,100,139,108,149,135,50,115,79,458,25.9,285.2,104.94,Foggy,Frustrated,8.64,High
2026-03-29 19:24:00,Nashik Municipal Corporation,101,102,56,123,135,30,71,41,363,19.56,221.76,63.43,Overcast,Frustrated,8.33,High
2026-03-07 04:13:00,Ashok Stambh,144,121,82,89,37,135,89,129,352,27.38,232.23,57.54,Overcast,Neutral,6.38,Normal
2026-03-19 22:38:00,ITI Signal,137,27,29,134,57,43,42,133,265,46.97,175.52,42.84,Clear,Impatient,6.02,Normal
2026-03-12 07:42:00,"Udyog Bhavan, FDA office",131,74,68,67,55,58,54,43,308,38.7,212.36,64.58,Rainy,Frustrated,9.77,High
2026-03-01 04:47:00,ABB Circle,142,126,94,57,120,133,117,89,473,20.16,292.9,82.06,Clear,Frustrated,8.66,High
2026-03-26 16:24:00,CBS SIGNAL,150,101,13,57,47,79,87,49,297,33.94,201.4,63.73,Rainy,Impatient,9.92,High
2026-03-15 14:23:00,Croma - Inox Signal,140,123,89,149,59,75,149,57,437,38.22,258.64,79.49,Foggy,Impatient,7.53,High
2026-03-23 09:44:00,Nashik Municipal Corporation,118,127,18,57,86,92,61,109,283,22.86,192.88,50.98,Foggy,Impatient,5.99,Normal
2026-03-25 15:43:00,CBS SIGNAL,26,79,105,99,42,42,112,95,285,24.89,189.72,53.1,Overcast,Neutral,5.22,Normal
2026-03-20 23:12:00,CBS SIGNAL,99,67,143,37,71,17,73,33,386,25.1,244.96,85.91,Clear,Impatient,7.13,High
2026-03-17 12:30:00,ABB Circle,108,14,130,66,62,82,58,97,358,49.05,233.06,65.15,Rainy,Anxious,10.0,High
2026-03-10 20:21:00,CBS SIGNAL,65,109,35,63,126,57,59,81,285,17.25,189.62,59.79,Clear,Neutral,5.62,Normal
2026-03-12 17:14:00,ABB Circle,47,19,65,37,47,99,96,35,255,55.94,185.95,57.72,Clear,Impatient,6.22,Normal
2026-03-14 01:07:00,Jailroad Signal,108,114,21,104,20,88,99,86,248,25.92,175.98,57.18,Foggy,Neutral,5.38,Normal
2026-03-09 06:05:00,Jailroad Signal,131,133,10,128,17,20,117,95,275,24.29,192.87,54.99,Clear,Impatient,6.54,Normal
2026-03-08 21:02:00,ITI Signal Post Office,25,86,49,27,125,78,45,74,244,54.1,164.92,53.74,Foggy,Neutral,5.24,Normal
2026-03-03 10:03:00,ITI Signal Post Office,100,21,14,136,93,27,80,111,287,30.9,194.31,67.05,Overcast,Anxious,9.23,High
2026-03-15 19:10:00,Croma - Inox Signal,25,139,14,39,125,85,18,19,182,17.17,139.59,37.56,Rainy,Impatient,7.59,High
2026-03-19 21:37:00,Croma - Inox Signal,86,32,98,110,75,89,57,53,316,17.4,208.34,51.48,Foggy,Neutral,5.04,Normal
2026-03-23 05:16:00,Nashik Municipal Corporation,69,144,80,57,21,144,16,20,186,18.8,145.46,32.22,Overcast,Neutral,4.54,Normal
2026-03-01 11:08:00,Jailroad Signal,85,130,55,67,120,15,147,91,407,52.17,257.79,94.87,Overcast,Frustrated,9.63,High
2026-03-16 15:57:00,Croma - Inox Signal,106,50,112,101,11,34,28,91,257,50.58,169.53,52.76,Clear,Impatient,5.13,Normal
2026-03-03 17:00:00,Tarwala / MERI Signal,104,49,138,73,86,132,85,121,413,24.9,247.74,95.78,Overcast,Frustrated,7.57,High
2026-03-02 16:17:00,ITI Signal,32,65,102,16,88,126,12,12,234,30.43,164.47,41.8,Rainy,Neutral,6.95,Normal
2026-03-20 17:11:00,Jailroad Signal,61,24,91,20,74,77,17,77,243,52.31,179.72,41.01,Clear,Impatient,6.48,Normal
2026-03-08 02:19:00,Tarwala / MERI Signal,91,97,28,133,111,139,65,121,295,40.64,197.57,52.17,Foggy,Neutral,4.08,Normal
2026-03-30 03:31:00,Croma - Inox Signal,51,95,125,85,54,39,99,89,329,28.83,210.77,78.58,Clear,Anxious,7.48,High
2026-03-24 23:11:00,Croma - Inox Signal,102,122,68,54,98,36,73,74,341,28.3,226.82,69.23,Rainy,Impatient,9.53,High
2026-03-12 02:44:00,ITI Signal,120,127,27,34,111,149,125,34,383,22.12,247.57,67.2,Foggy,Impatient,8.29,High
2026-03-04 21:55:00,ITI Signal Post Office,73,134,89,50,60,138,122,26,344,34.9,213.18,65.43,Foggy,Anxious,7.91,High
2026-03-11 22:36:00,Croma - Inox Signal,13,95,149,135,71,45,149,103,382,15.84,236.19,88.76,Clear,Impatient,9.11,High
2026-03-19 06:22:00,Ashok Stambh,145,46,53,92,124,51,125,16,447,17.79,278.4,93.32,Rainy,Impatient,8.7,High
2026-03-04 04:43:00,Jailroad Signal,19,18,55,147,63,88,76,121,213,37.19,155.6,37.12,Clear,Neutral,4.56,Normal
2026-03-20 14:21:00,Tarwala / MERI Signal,108,116,28,131,132,33,93,13,361,34.78,236.41,82.37,Clear,Frustrated,7.48,High
2026-03-01 22:54:00,Tarwala / MERI Signal,39,146,62,111,97,67,148,106,346,41.23,222.94,82.48,Rainy,Frustrated,8.71,High
2026-03-08 13:40:00,ITI Signal Post Office,112,122,35,80,73,109,122,138,342,19.11,215.1,80.85,Clear,Frustrated,8.87,High
2026-03-06 03:14:00,Ashok Stambh,49,18,99,47,139,105,31,53,318,24.62,208.98,57.01,Rainy,Neutral,6.48,Normal
2026-03-05 21:18:00,ITI Signal,78,33,20,13,59,136,26,129,183,50.51,150.76,42.35,Clear,Neutral,5.12,Normal
2026-03-08 19:55:00,Jailroad Signal,110,106,79,141,56,65,125,30,370,49.04,225.86,86.82,Clear,Anxious,9.73,High
2026-03-28 09:18:00,Ashok Stambh,132,52,41,125,65,88,40,51,278,49.93,195.98,55.19,Overcast,Impatient,4.12,Normal
2026-03-02 18:43:00,ABB Circle,46,63,56,142,112,145,69,74,283,34.27,186.18,60.33,Rainy,Anxious,9.5,High
2026-03-30 10:37:00,CBS SIGNAL,26,10,50,90,127,113,126,54,329,29.21,221.68,77.04,Rainy,Impatient,8.8,High
2026-03-26 18:30:00,CBS SIGNAL,150,55,30,57,104,132,56,17,340,45.27,212.42,58.23,Overcast,Impatient,4.6,Normal
2026-03-26 12:24:00,"Udyog Bhavan, FDA office",144,53,40,93,121,119,120,76,425,40.73,256.07,79.64,Overcast,Frustrated,8.0,High
2026-03-13 18:27:00,CBS SIGNAL,16,32,113,59,83,42,125,108,337,19.22,220.95,72.11,Overcast,Anxious,7.01,High
2026-03-03 04:36:00,CBS SIGNAL,23,83,72,69,23,29,65,48,183,27.84,131.64,30.04,Clear,Impatient,6.4,Normal
2026-03-21 02:26:00,Ashok Stambh,115,60,71,113,82,65,36,19,304,32.2,199.08,60.09,Rainy,Anxious,10.0,High
2026-03-21 20:54:00,"Udyog Bhavan, FDA office",136,63,115,36,65,54,41,77,357,24.54,222.15,68.25,Foggy,Anxious,7.59,High
2026-03-18 05:33:00,Tarwala / MERI Signal,145,108,82,139,38,26,58,137,323,41.9,210.89,71.44,Rainy,Anxious,10.0,High
2026-03-24 15:53:00,ABB Circle,112,103,143,57,55,40,38,20,348,33.94,223.3,57.67,Overcast,Neutral,4.76,Normal
2026-03-07 17:54:00,ITI Signal,19,35,56,34,118,112,67,82,260,50.07,182.14,61.4,Rainy,Anxious,9.72,High
2026-03-11 14:15:00,CBS SIGNAL,91,20,33,31,10,74,48,40,182,17.54,134.79,36.72,Foggy,Impatient,6.06,Normal
2026-03-27 10:39:00,Tarwala / MERI Signal,148,32,95,141,91,97,17,111,351,32.21,221.94,66.69,Overcast,Anxious,7.91,High
2026-03-24 19:39:00,"Udyog Bhavan, FDA office",57,72,67,77,73,85,64,41,261,15.49,170.74,43.39,Foggy,Impatient,4.84,Normal
2026-03-19 10:16:00,ITI Signal Post Office,143,54,105,132,137,142,79,79,464,30.81,276.46,105.23,Overcast,Anxious,8.22,High
