timestamp,user_id,junction_id,issue_type,description,priority_level,status
2026-03-01 19:57:50.633444,USR-9824,J2,Pothole,Automated citizen feedback report.,Critical,In Progress
2025-06-14 21:57:50.633444,USR-5058,J10,Accident,Automated citizen feedback report.,High,In Progress
2025-04-07 05:57:50.633444,USR-9983,J3,Pothole,Automated citizen feedback report.,Low,Resolved
2025-12-27 14:57:50.633444,USR-1029,J10,Accident,Automated citizen feedback report.,Low,In Progress
2026-03-04 06:57:50.633444,USR-3355,J20,Heavy Congestion,Automated citizen feedback report.,Critical,In Progress
2026-02-03 11:57:50.633444,USR-8319,J8,Accident,Automated citizen feedback report.,Medium,Open
2026-01-20 05:57:50.633444,USR-3170,J1,Signal Outage,Automated citizen feedback report.,Low,Open
2026-03-16 03:57:50.633444,USR-1784,J20,Heavy Congestion,Automated citizen feedback report.,Medium,In Progress
2025-08-15 01:57:50.633444,USR-7071,J14,Signal Outage,Automated citizen feedback report.,Medium,In Progress
2025-06-09 15:57:50.633444,USR-6951,J13,Heavy Congestion,Automated citizen feedback report.,Low,In Progress
2025-09-02 22:57:50.633444,USR-9111,J12,Accident,Automated citizen feedback report.,High,Open
2026-03-03 06:57:50.633444,USR-8907,J8,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-08-02 04:57:50.633444,USR-4717,J2,Signal Outage,Automated citizen feedback report.,Low,In Progress
2025-12-21 08:57:50.633444,USR-3678,J13,Pothole,Automated citizen feedback report.,Medium,Resolved
2026-02-12 14:57:50.633444,USR-1401,J4,Accident,Automated citizen feedback report.,High,Resolved
2025-05-10 02:57:50.633444,USR-3865,J9,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-12-27 18:57:50.633444,USR-1348,J18,Accident,Automated citizen feedback report.,High,In Progress
2025-08-12 11:57:50.633444,USR-5023,J3,Pothole,Automated citizen feedback report.,Critical,Open
2025-05-18 11:57:50.633444,USR-7963,J2,Signal Outage,Automated citizen feedback report.,Critical,Open
2026-03-30 15:57:50.633444,USR-6638,J13,Heavy Congestion,Automated citizen feedback report.,High,Open
2025-11-20 12:57:50.633444,USR-8568,J14,Pothole,Automated citizen feedback report.,Critical,Open
2026-03-24 23:57:50.633444,USR-2627,J8,Heavy Congestion,Automated citizen feedback report.,Medium,Open
2025-05-08 05:57:50.633444,USR-3177,J20,Accident,Automated citizen feedback report.,Critical,In Progress
2025-12-13 05:57:50.633444,USR-2198,J5,Pothole,Automated citizen feedback report.,High,Resolved
2026-01-21 01:57:50.633444,USR-4469,J19,Pothole,Automated citizen feedback report.,Medium,Open
2025-07-09 08:57:50.633444,USR-8160,J14,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-05-23 19:57:50.633444,USR-5059,J7,Accident,Automated citizen feedback report.,Medium,Open
2026-03-08 02:57:50.633444,USR-6646,J4,Accident,Automated citizen feedback report.,Medium,In Progress
2025-11-08 18:57:50.633444,USR-9700,J20,Accident,Automated citizen feedback report.,Medium,Resolved
2026-01-31 22:57:50.633444,USR-2809,J12,Pothole,Automated citizen feedback report.,Critical,In Progress
2025-07-11 01:57:50.633444,USR-7750,J17,Heavy Congestion,Automated citizen feedback report.,Low,Open
2025-05-05 02:57:50.633444,USR-1970,J2,Accident,Automated citizen feedback report.,High,Resolved
2025-10-03 22:57:50.633444,USR-7682,J2,Accident,Automated citizen feedback report.,Low,In Progress
2025-09-02 06:57:50.633444,USR-5219,J16,Pothole,Automated citizen feedback report.,High,In Progress
2025-08-14 18:57:50.633444,USR-6870,J3,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-07-20 00:57:50.633444,USR-8986,J4,Signal Outage,Automated citizen feedback report.,High,Resolved
2025-10-25 01:57:50.633444,USR-9940,J3,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2026-01-07 20:57:50.633444,USR-1513,J6,Accident,Automated citizen feedback report.,Critical,Resolved
2025-04-04 12:57:50.633444,USR-8700,J5,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2026-02-24 19:57:50.633444,USR-4047,J3,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2026-01-12 12:57:50.633444,USR-5279,J8,Pothole,Automated citizen feedback report.,Medium,Resolved
2025-07-17 16:57:50.633444,USR-4966,J6,Accident,Automated citizen feedback report.,Medium,Open
2026-01-21 11:57:50.633444,USR-7918,J1,Accident,Automated citizen feedback report.,Medium,Open
2025-06-22 22:57:50.633444,USR-3832,J18,Accident,Automated citizen feedback report.,Medium,Resolved
2025-12-20 03:57:50.633444,USR-1247,J12,Signal Outage,Automated citizen feedback report.,High,Open
2025-12-23 02:57:50.633444,USR-8877,J6,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2025-09-15 22:57:50.633444,USR-1388,J18,Accident,Automated citizen feedback report.,High,In Progress
2025-04-12 05:57:50.633444,USR-7688,J9,Pothole,Automated citizen feedback report.,High,In Progress
2025-11-18 21:57:50.633444,USR-1467,J19,Pothole,Automated citizen feedback report.,Medium,Resolved
2025-12-21 11:57:50.633444,USR-6384,J20,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-10-11 02:57:50.633444,USR-5047,J5,Accident,Automated citizen feedback report.,Medium,Resolved
2026-01-22 05:57:50.633444,USR-9877,J3,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-05-17 14:57:50.633444,USR-1971,J15,Pothole,Automated citizen feedback report.,Critical,Open
2025-04-22 17:57:50.633444,USR-1412,J9,Pothole,Automated citizen feedback report.,Low,Resolved
2025-11-21 20:57:50.633444,USR-9105,J6,Heavy Congestion,Automated citizen feedback report.,Critical,Open
2025-06-14 23:57:50.633444,USR-5427,J9,Pothole,Automated citizen feedback report.,Low,Resolved
2025-04-05 01:57:50.633444,USR-3911,J20,Pothole,Automated citizen feedback report.,Low,In Progress
2025-07-20 11:57:50.633444,USR-3768,J5,Pothole,Automated citizen feedback report.,Critical,Resolved
2025-04-29 23:57:50.633444,USR-4215,J4,Accident,Automated citizen feedback report.,Low,Resolved
2026-02-03 10:57:50.633444,USR-3891,J12,Accident,Automated citizen feedback report.,Critical,Resolved
2025-07-25 12:57:50.633444,USR-9856,J13,Heavy Congestion,Automated citizen feedback report.,Critical,In Progress
2025-12-27 16:57:50.633444,USR-7286,J4,Signal Outage,Automated citizen feedback report.,Low,Resolved
2026-02-13 07:57:50.633444,USR-2094,J8,Accident,Automated citizen feedback report.,Low,Resolved
2025-09-30 10:57:50.633444,USR-1010,J17,Pothole,Automated citizen feedback report.,Medium,In Progress
2025-07-21 12:57:50.633444,USR-3289,J11,Signal Outage,Automated citizen feedback report.,High,In Progress
2025-11-08 21:57:50.633444,USR-6370,J10,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-09-15 01:57:50.633444,USR-4365,J5,Accident,Automated citizen feedback report.,Low,In Progress
2025-04-06 23:57:50.633444,USR-5635,J3,Pothole,Automated citizen feedback report.,Medium,Resolved
2025-04-25 22:57:50.633444,USR-5795,J20,Pothole,Automated citizen feedback report.,Medium,Resolved
2025-10-01 02:57:50.633444,USR-3048,J19,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-05-04 06:57:50.633444,USR-3318,J14,Signal Outage,Automated citizen feedback report.,Low,In Progress
2025-10-24 03:57:50.633444,USR-7879,J4,Accident,Automated citizen feedback report.,Medium,Open
2026-02-11 17:57:50.633444,USR-8722,J8,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-08-26 01:57:50.633444,USR-7083,J11,Pothole,Automated citizen feedback report.,Low,Resolved
2025-10-20 14:57:50.633444,USR-4109,J5,Heavy Congestion,Automated citizen feedback report.,Medium,In Progress
2025-05-10 15:57:50.633444,USR-4836,J18,Accident,Automated citizen feedback report.,High,In Progress
2026-03-07 11:57:50.633444,USR-3149,J20,Accident,Automated citizen feedback report.,High,In Progress
2025-08-12 06:57:50.633444,USR-7926,J4,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2025-10-20 16:57:50.633444,USR-7391,J6,Pothole,Automated citizen feedback report.,Critical,Resolved
2026-01-09 10:57:50.633444,USR-8965,J9,Pothole,Automated citizen feedback report.,Medium,Open
2025-05-08 01:57:50.633444,USR-7899,J19,Signal Outage,Automated citizen feedback report.,High,In Progress
2025-07-20 08:57:50.633444,USR-3933,J3,Heavy Congestion,Automated citizen feedback report.,Critical,Resolved
2025-12-22 15:57:50.633444,USR-4368,J20,Signal Outage,Automated citizen feedback report.,Low,In Progress
2025-12-06 04:57:50.633444,USR-6989,J12,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2026-02-12 09:57:50.633444,USR-2632,J10,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2026-03-08 14:57:50.633444,USR-5917,J7,Accident,Automated citizen feedback report.,Critical,Resolved
2025-09-28 22:57:50.633444,USR-5663,J19,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2026-03-09 04:57:50.633444,USR-4399,J14,Accident,Automated citizen feedback report.,High,Open
2025-12-16 02:57:50.633444,USR-5369,J1,Pothole,Automated citizen feedback report.,Low,Resolved
2025-12-06 00:57:50.633444,USR-6521,J9,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2025-10-08 04:57:50.633444,USR-4847,J12,Signal Outage,Automated citizen feedback report.,Critical,In Progress
2025-12-28 06:57:50.633444,USR-9742,J5,Signal Outage,Automated citizen feedback report.,Low,In Progress
2025-04-12 12:57:50.633444,USR-5112,J4,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-12-28 20:57:50.633444,USR-6531,J7,Accident,Automated citizen feedback report.,Critical,Resolved
2026-04-01 02:57:50.633444,USR-3547,J16,Pothole,Automated citizen feedback report.,High,In Progress
2025-09-06 00:57:50.633444,USR-4006,J4,Accident,Automated citizen feedback report.,High,Resolved
2026-02-04 05:57:50.633444,USR-1873,J1,Signal Outage,Automated citizen feedback report.,Medium,In Progress
2025-11-12 02:57:50.633444,USR-2848,J19,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2025-07-02 17:57:50.633444,USR-5288,J11,Heavy Congestion,Automated citizen feedback report.,Critical,Open
2025-09-03 06:57:50.633444,USR-3897,J8,Pothole,Automated citizen feedback report.,Critical,Resolved
2025-09-22 21:57:50.633444,USR-3154,J12,Accident,Automated citizen feedback report.,Low,In Progress
2025-12-20 13:57:50.633444,USR-4441,J4,Pothole,Automated citizen feedback report.,High,In Progress
2025-06-20 19:57:50.633444,USR-3101,J13,Accident,Automated citizen feedback report.,Low,Resolved
2025-08-12 08:57:50.633444,USR-7412,J10,Accident,Automated citizen feedback report.,Low,Resolved
2026-02-02 06:57:50.633444,USR-7915,J20,Accident,Automated citizen feedback report.,Critical,In Progress
2025-06-03 08:57:50.633444,USR-3754,J10,Accident,Automated citizen feedback report.,Critical,Resolved
2026-01-12 01:57:50.633444,USR-1204,J15,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2026-01-29 09:57:50.633444,USR-8834,J12,Signal Outage,Automated citizen feedback report.,High,Resolved
2026-02-17 11:57:50.633444,USR-8125,J12,Accident,Automated citizen feedback report.,High,Resolved
2026-03-03 12:57:50.633444,USR-6642,J19,Accident,Automated citizen feedback report.,High,In Progress
2025-12-03 15:57:50.633444,USR-5020,J11,Accident,Automated citizen feedback report.,Critical,In Progress
2025-05-24 04:57:50.633444,USR-2297,J4,Heavy Congestion,Automated citizen feedback report.,High,Open
2025-07-03 16:57:50.633444,USR-4837,J11,Signal Outage,Automated citizen feedback report.,Critical,Open
2025-10-02 07:57:50.633444,USR-8580,J18,Pothole,Automated citizen feedback report.,Low,Resolved
2026-01-27 06:57:50.633444,USR-9249,J4,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-11-24 14:57:50.633444,USR-9247,J19,Accident,Automated citizen feedback report.,Medium,Open
2025-11-10 02:57:50.633444,USR-2273,J13,Pothole,Automated citizen feedback report.,Low,Resolved
2025-04-25 12:57:50.633444,USR-8866,J7,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-11-11 20:57:50.633444,USR-5547,J11,Signal Outage,Automated citizen feedback report.,High,In Progress
2026-03-04 17:57:50.633444,USR-8106,J16,Pothole,Automated citizen feedback report.,Medium,Resolved
2026-03-16 02:57:50.633444,USR-3005,J1,Heavy Congestion,Automated citizen feedback report.,Critical,Resolved
2025-08-20 20:57:50.633444,USR-9252,J11,Signal Outage,Automated citizen feedback report.,Low,Resolved
2026-02-12 04:57:50.633444,USR-7297,J4,Accident,Automated citizen feedback report.,Critical,Resolved
2025-08-30 20:57:50.633444,USR-2742,J12,Accident,Automated citizen feedback report.,High,Open
2025-08-01 10:57:50.633444,USR-8449,J15,Accident,Automated citizen feedback report.,High,Resolved
2025-07-31 17:57:50.633444,USR-6800,J11,Accident,Automated citizen feedback report.,Critical,Open
2025-10-07 11:57:50.633444,USR-3509,J12,Heavy Congestion,Automated citizen feedback report.,Low,Open
2025-09-15 16:57:50.633444,USR-4068,J13,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-11-19 12:57:50.633444,USR-9949,J13,Heavy Congestion,Automated citizen feedback report.,High,Resolved
2025-12-06 23:57:50.633444,USR-8150,J17,Accident,Automated citizen feedback report.,Low,Resolved
2025-09-21 14:57:50.633444,USR-9850,J18,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-10-23 16:57:50.633444,USR-3548,J15,Accident,Automated citizen feedback report.,Critical,Resolved
2025-08-28 14:57:50.633444,USR-9560,J17,Heavy Congestion,Automated citizen feedback report.,Low,Open
2026-03-11 08:57:50.633444,USR-3862,J4,Signal Outage,Automated citizen feedback report.,High,In Progress
2025-11-06 18:57:50.633444,USR-8773,J17,Accident,Automated citizen feedback report.,High,In Progress
2025-12-19 13:57:50.633444,USR-8980,J2,Heavy Congestion,Automated citizen feedback report.,Low,In Progress
2025-04-17 15:57:50.633444,USR-5606,J5,Heavy Congestion,Automated citizen feedback report.,Critical,In Progress
2025-04-15 18:57:50.633444,USR-5482,J2,Signal Outage,Automated citizen feedback report.,Low,In Progress
2026-02-03 13:57:50.633444,USR-4499,J15,Signal Outage,Automated citizen feedback report.,High,Resolved
2025-10-20 20:57:50.633444,USR-1995,J16,Accident,Automated citizen feedback report.,High,Resolved
2026-02-28 14:57:50.633444,USR-7426,J14,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2025-06-11 06:57:50.633444,USR-5447,J14,Pothole,Automated citizen feedback report.,Medium,Resolved
2026-03-27 07:57:50.633444,USR-8137,J4,Pothole,Automated citizen feedback report.,High,In Progress
2025-10-30 22:57:50.633444,USR-7340,J19,Pothole,Automated citizen feedback report.,Critical,In Progress
2025-12-09 18:57:50.633444,USR-3784,J6,Heavy Congestion,Automated citizen feedback report.,High,Resolved
2025-07-11 13:57:50.633444,USR-2559,J10,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2026-01-23 02:57:50.633444,USR-2035,J4,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2026-03-06 15:57:50.633444,USR-4633,J11,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2026-03-23 19:57:50.633444,USR-1872,J1,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-10-20 19:57:50.633444,USR-1184,J17,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-08-10 15:57:50.633444,USR-5354,J5,Accident,Automated citizen feedback report.,High,In Progress
2025-10-13 17:57:50.633444,USR-6867,J16,Accident,Automated citizen feedback report.,Low,Resolved
2025-04-11 04:57:50.633444,USR-7803,J15,Signal Outage,Automated citizen feedback report.,High,In Progress
2025-10-03 17:57:50.633444,USR-1138,J20,Heavy Congestion,Automated citizen feedback report.,High,Resolved
2026-03-12 05:57:50.633444,USR-3088,J9,Heavy Congestion,Automated citizen feedback report.,High,Open
2025-12-16 19:57:50.633444,USR-6840,J6,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2025-07-22 06:57:50.633444,USR-8037,J16,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-05-25 13:57:50.633444,USR-1085,J2,Accident,Automated citizen feedback report.,Medium,Open
2025-10-03 23:57:50.633444,USR-6363,J18,Pothole,Automated citizen feedback report.,Medium,In Progress
2026-01-22 17:57:50.633444,USR-3888,J1,Heavy Congestion,Automated citizen feedback report.,Critical,In Progress
2026-01-23 22:57:50.633444,USR-8155,J13,Accident,Automated citizen feedback report.,Critical,Resolved
2025-07-02 05:57:50.633444,USR-2103,J7,Signal Outage,Automated citizen feedback report.,Critical,In Progress
2025-12-23 09:57:50.633444,USR-4496,J6,Accident,Automated citizen feedback report.,Low,Resolved
2025-07-15 07:57:50.633444,USR-4155,J19,Signal Outage,Automated citizen feedback report.,Critical,Open
2025-09-29 22:57:50.633444,USR-2328,J14,Signal Outage,Automated citizen feedback report.,Critical,In Progress
2025-10-21 09:57:50.633444,USR-6706,J13,Pothole,Automated citizen feedback report.,Medium,Resolved
2025-06-05 20:57:50.633444,USR-9840,J4,Pothole,Automated citizen feedback report.,High,In Progress
2026-01-09 04:57:50.633444,USR-2865,J17,Signal Outage,Automated citizen feedback report.,Critical,Open
2025-05-31 10:57:50.633444,USR-3682,J3,Accident,Automated citizen feedback report.,Critical,Open
2025-06-22 21:57:50.633444,USR-5011,J19,Pothole,Automated citizen feedback report.,Low,In Progress
2025-09-02 17:57:50.633444,USR-7692,J20,Heavy Congestion,Automated citizen feedback report.,Low,In Progress
2025-07-10 09:57:50.633444,USR-3513,J3,Accident,Automated citizen feedback report.,High,Resolved
2026-03-08 06:57:50.633444,USR-4257,J16,Accident,Automated citizen feedback report.,Critical,Resolved
2026-01-04 07:57:50.633444,USR-1170,J5,Accident,Automated citizen feedback report.,Critical,In Progress
2025-11-29 15:57:50.633444,USR-6742,J2,Pothole,Automated citizen feedback report.,High,In Progress
2025-11-22 10:57:50.633444,USR-4358,J8,Pothole,Automated citizen feedback report.,Low,Resolved
2025-08-13 17:57:50.633444,USR-7125,J17,Pothole,Automated citizen feedback report.,High,Open
2026-01-18 05:57:50.633444,USR-5397,J9,Signal Outage,Automated citizen feedback report.,High,In Progress
2025-04-06 07:57:50.633444,USR-4479,J1,Accident,Automated citizen feedback report.,Low,Resolved
2026-04-01 11:57:50.633444,USR-5693,J15,Pothole,Automated citizen feedback report.,High,Resolved
2026-03-18 09:57:50.633444,USR-6728,J6,Accident,Automated citizen feedback report.,High,In Progress
2025-05-10 16:57:50.633444,USR-6294,J16,Pothole,Automated citizen feedback report.,Medium,Resolved
2026-02-09 19:57:50.633444,USR-5212,J20,Accident,Automated citizen feedback report.,High,Resolved
2026-01-12 19:57:50.633444,USR-5165,J18,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-04-19 07:57:50.633444,USR-8617,J2,Accident,Automated citizen feedback report.,Critical,Resolved
2026-01-02 22:57:50.633444,USR-5156,J9,Pothole,Automated citizen feedback report.,Critical,Resolved
2025-04-11 19:57:50.633444,USR-4613,J13,Heavy Congestion,Automated citizen feedback report.,Critical,In Progress
2025-07-24 20:57:50.633444,USR-4312,J18,Accident,Automated citizen feedback report.,Low,Open
2025-07-19 17:57:50.633444,USR-8343,J5,Accident,Automated citizen feedback report.,High,Resolved
2025-06-21 11:57:50.633444,USR-5365,J19,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-09-26 05:57:50.633444,USR-5387,J6,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-12-16 06:57:50.633444,USR-1491,J4,Pothole,Automated citizen feedback report.,Low,Resolved
2025-12-06 02:57:50.633444,USR-4786,J15,Signal Outage,Automated citizen feedback report.,High,Resolved
2025-11-16 10:57:50.633444,USR-8731,J20,Signal Outage,Automated citizen feedback report.,Low,In Progress
2025-10-23 08:57:50.633444,USR-8528,J15,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-09-15 18:57:50.633444,USR-6141,J19,Signal Outage,Automated citizen feedback report.,Medium,In Progress
2026-01-11 17:57:50.633444,USR-8204,J19,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-10-30 10:57:50.633444,USR-8455,J15,Pothole,Automated citizen feedback report.,Critical,Resolved
2025-09-26 16:57:50.633444,USR-8037,J7,Signal Outage,Automated citizen feedback report.,Critical,In Progress
2026-01-04 21:57:50.633444,USR-8714,J5,Signal Outage,Automated citizen feedback report.,High,In Progress
2025-04-25 05:57:50.633444,USR-2734,J10,Accident,Automated citizen feedback report.,Critical,In Progress
2025-12-23 05:57:50.633444,USR-8388,J16,Signal Outage,Automated citizen feedback report.,Low,Open
2025-09-14 16:57:50.633444,USR-2658,J3,Accident,Automated citizen feedback report.,Critical,In Progress
2025-12-26 23:57:50.633444,USR-4034,J10,Accident,Automated citizen feedback report.,High,Resolved
2026-03-05 15:57:50.633444,USR-2348,J5,Pothole,Automated citizen feedback report.,Critical,In Progress
2025-06-16 11:57:50.633444,USR-5392,J11,Pothole,Automated citizen feedback report.,Low,Resolved
2025-10-15 07:57:50.633444,USR-2950,J17,Accident,Automated citizen feedback report.,Medium,Resolved
2025-06-09 12:57:50.633444,USR-9337,J11,Pothole,Automated citizen feedback report.,Critical,Resolved
2025-05-15 09:57:50.633444,USR-8695,J6,Pothole,Automated citizen feedback report.,Low,Resolved
2026-02-10 20:57:50.633444,USR-6077,J2,Heavy Congestion,Automated citizen feedback report.,Low,Open
2026-01-05 13:57:50.633444,USR-8515,J4,Accident,Automated citizen feedback report.,Critical,In Progress
2026-01-05 22:57:50.633444,USR-9298,J10,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-09-10 18:57:50.633444,USR-7451,J11,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2026-02-19 22:57:50.633444,USR-9503,J1,Accident,Automated citizen feedback report.,Low,Resolved
2026-04-01 15:57:50.633444,USR-2705,J15,Pothole,Automated citizen feedback report.,Critical,Open
2025-11-12 07:57:50.633444,USR-5992,J20,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2025-06-08 06:57:50.633444,USR-6850,J9,Pothole,Automated citizen feedback report.,High,Resolved
2025-09-22 17:57:50.633444,USR-4810,J9,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2026-01-08 17:57:50.633444,USR-6795,J4,Accident,Automated citizen feedback report.,High,Resolved
2025-06-05 13:57:50.633444,USR-8760,J1,Heavy Congestion,Automated citizen feedback report.,Critical,Open
2026-01-31 12:57:50.633444,USR-2084,J8,Accident,Automated citizen feedback report.,Medium,Resolved
2026-02-19 14:57:50.633444,USR-7301,J3,Accident,Automated citizen feedback report.,Critical,Resolved
2026-03-21 20:57:50.633444,USR-1559,J9,Pothole,Automated citizen feedback report.,Medium,In Progress
2025-12-27 22:57:50.633444,USR-8423,J6,Pothole,Automated citizen feedback report.,Medium,In Progress
2025-10-18 00:57:50.633444,USR-7848,J18,Accident,Automated citizen feedback report.,Medium,In Progress
2025-05-16 18:57:50.633444,USR-6477,J18,Pothole,Automated citizen feedback report.,Medium,Open
2026-03-31 21:57:50.633444,USR-1996,J7,Heavy Congestion,Automated citizen feedback report.,Medium,Open
2025-12-18 03:57:50.633444,USR-7203,J10,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-09-01 09:57:50.633444,USR-9112,J4,Accident,Automated citizen feedback report.,High,Resolved
2025-11-15 01:57:50.633444,USR-3731,J15,Accident,Automated citizen feedback report.,Low,In Progress
2025-11-14 11:57:50.633444,USR-5344,J6,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-04-30 20:57:50.633444,USR-1825,J14,Pothole,Automated citizen feedback report.,Medium,In Progress
2025-05-03 20:57:50.633444,USR-8230,J19,Signal Outage,Automated citizen feedback report.,Critical,Open
2025-05-07 09:57:50.633444,USR-1977,J12,Pothole,Automated citizen feedback report.,High,In Progress
2025-08-20 20:57:50.633444,USR-1355,J11,Accident,Automated citizen feedback report.,High,Open
2026-01-25 04:57:50.633444,USR-9491,J7,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-09-23 11:57:50.633444,USR-2804,J14,Accident,Automated citizen feedback report.,Critical,Resolved
