timestamp,event_id,location_junction,event_type,expected_crowd,impact_radius,start_time,end_time
2025-11-05 20:57:50.633444,EVT-24,J11,Protest,9354,3,2025-11-05 19:57:50.633444,2025-11-05 21:57:50.633444
2025-08-06 07:57:50.633444,EVT-25,J15,Sports,2313,2,2025-08-06 06:57:50.633444,2025-08-06 08:57:50.633444
2025-05-24 21:57:50.633444,EVT-26,J20,Political Rally,770,2,2025-05-24 20:57:50.633444,2025-05-24 22:57:50.633444
2025-10-05 21:57:50.633444,EVT-27,J20,Political Rally,4127,3,2025-10-05 20:57:50.633444,2025-10-05 22:57:50.633444
2025-05-11 08:57:50.633444,EVT-28,J19,Sports,4547,2,2025-05-11 07:57:50.633444,2025-05-11 09:57:50.633444
2026-02-20 20:57:50.633444,EVT-29,J13,Concert,3636,2,2026-02-20 19:57:50.633444,2026-02-20 21:57:50.633444
2026-01-05 00:57:50.633444,EVT-30,J18,Protest,6805,2,2026-01-04 23:57:50.633444,2026-01-05 01:57:50.633444
2025-04-29 14:57:50.633444,EVT-31,J1,Sports,2515,3,2025-04-29 13:57:50.633444,2025-04-29 15:57:50.633444
2025-06-11 16:57:50.633444,EVT-32,J14,Protest,8198,1,2025-06-11 15:57:50.633444,2025-06-11 17:57:50.633444
2025-09-19 03:57:50.633444,EVT-33,J14,Sports,934,1,2025-09-19 02:57:50.633444,2025-09-19 04:57:50.633444
2025-06-21 17:57:50.633444,EVT-34,J16,Protest,3228,1,2025-06-21 16:57:50.633444,2025-06-21 18:57:50.633444
2025-04-26 06:57:50.633444,EVT-35,J2,Protest,9699,1,2025-04-26 05:57:50.633444,2025-04-26 07:57:50.633444
2025-11-19 11:57:50.633444,EVT-36,J20,Sports,5605,3,2025-11-19 10:57:50.633444,2025-11-19 12:57:50.633444
2025-11-25 19:57:50.633444,EVT-37,J17,Political Rally,2185,3,2025-11-25 18:57:50.633444,2025-11-25 20:57:50.633444
2025-09-17 08:57:50.633444,EVT-38,J2,Sports,2074,3,2025-09-17 07:57:50.633444,2025-09-17 09:57:50.633444
2025-04-08 17:57:50.633444,EVT-39,J14,Sports,4570,2,2025-04-08 16:57:50.633444,2025-04-08 18:57:50.633444
2025-11-09 01:57:50.633444,EVT-40,J14,Concert,5669,1,2025-11-09 00:57:50.633444,2025-11-09 02:57:50.633444
2026-01-01 12:57:50.633444,EVT-41,J16,Sports,5543,1,2026-01-01 11:57:50.633444,2026-01-01 13:57:50.633444
2025-10-08 08:57:50.633444,EVT-42,J9,Concert,8575,2,2025-10-08 07:57:50.633444,2025-10-08 09:57:50.633444
2026-02-27 15:57:50.633444,EVT-43,J18,Sports,7655,1,2026-02-27 14:57:50.633444,2026-02-27 16:57:50.633444
2025-04-11 16:57:50.633444,EVT-44,J18,Protest,2512,2,2025-04-11 15:57:50.633444,2025-04-11 17:57:50.633444
2025-05-26 00:57:50.633444,EVT-45,J2,Concert,8225,1,2025-05-25 23:57:50.633444,2025-05-26 01:57:50.633444
2025-06-28 10:57:50.633444,EVT-46,J19,Protest,1688,2,2025-06-28 09:57:50.633444,2025-06-28 11:57:50.633444
2026-03-08 06:57:50.633444,EVT-47,J11,Political Rally,9301,2,2026-03-08 05:57:50.633444,2026-03-08 07:57:50.633444
2025-10-25 11:57:50.633444,EVT-48,J6,Concert,4009,1,2025-10-25 10:57:50.633444,2025-10-25 12:57:50.633444
2026-03-26 21:57:50.633444,EVT-49,J3,Sports,9064,2,2026-03-26 20:57:50.633444,2026-03-26 22:57:50.633444
2025-05-28 13:57:50.633444,EVT-50,J6,Political Rally,2409,2,2025-05-28 12:57:50.633444,2025-05-28 14:57:50.633444
2025-11-30 02:57:50.633444,EVT-51,J14,Sports,9505,3,2025-11-30 01:57:50.633444,2025-11-30 03:57:50.633444
2025-09-10 11:57:50.633444,EVT-52,J8,Concert,8027,1,2025-09-10 10:57:50.633444,2025-09-10 12:57:50.633444
2026-01-04 19:57:50.633444,EVT-53,J16,Protest,7730,1,2026-01-04 18:57:50.633444,2026-01-04 20:57:50.633444
2025-10-20 06:57:50.633444,EVT-54,J7,Protest,7682,1,2025-10-20 05:57:50.633444,2025-10-20 07:57:50.633444
2025-04-20 06:57:50.633444,EVT-55,J13,Protest,1601,2,2025-04-20 05:57:50.633444,2025-04-20 07:57:50.633444
2026-01-03 05:57:50.633444,EVT-56,J1,Protest,5288,3,2026-01-03 04:57:50.633444,2026-01-03 06:57:50.633444
2025-08-18 04:57:50.633444,EVT-57,J4,Political Rally,2321,2,2025-08-18 03:57:50.633444,2025-08-18 05:57:50.633444
2026-03-22 16:57:50.633444,EVT-58,J17,Concert,6968,2,2026-03-22 15:57:50.633444,2026-03-22 17:57:50.633444
2025-04-11 18:57:50.633444,EVT-59,J12,Protest,2796,1,2025-04-11 17:57:50.633444,2025-04-11 19:57:50.633444
2025-12-17 12:57:50.633444,EVT-60,J14,Political Rally,3257,2,2025-12-17 11:57:50.633444,2025-12-17 13:57:50.633444
2025-07-25 06:57:50.633444,EVT-61,J20,Sports,7187,3,2025-07-25 05:57:50.633444,2025-07-25 07:57:50.633444
2025-04-10 22:57:50.633444,EVT-62,J17,Political Rally,1205,1,2025-04-10 21:57:50.633444,2025-04-10 23:57:50.633444
2026-03-05 20:57:50.633444,EVT-63,J18,Concert,2382,1,2026-03-05 19:57:50.633444,2026-03-05 21:57:50.633444
2025-09-04 01:57:50.633444,EVT-64,J16,Concert,5494,3,2025-09-04 00:57:50.633444,2025-09-04 02:57:50.633444
2025-06-21 17:57:50.633444,EVT-65,J13,Protest,3729,1,2025-06-21 16:57:50.633444,2025-06-21 18:57:50.633444
2025-12-31 09:57:50.633444,EVT-66,J13,Protest,1520,2,2025-12-31 08:57:50.633444,2025-12-31 10:57:50.633444
2025-06-26 23:57:50.633444,EVT-67,J11,Sports,1127,1,2025-06-26 22:57:50.633444,2025-06-27 00:57:50.633444
2025-06-15 07:57:50.633444,EVT-68,J7,Political Rally,5849,1,2025-06-15 06:57:50.633444,2025-06-15 08:57:50.633444
2025-10-10 12:57:50.633444,EVT-69,J16,Protest,6943,3,2025-10-10 11:57:50.633444,2025-10-10 13:57:50.633444
2025-08-19 01:57:50.633444,EVT-70,J6,Protest,3411,2,2025-08-19 00:57:50.633444,2025-08-19 02:57:50.633444
2025-05-22 21:57:50.633444,EVT-71,J16,Concert,2675,3,2025-05-22 20:57:50.633444,2025-05-22 22:57:50.633444
2025-07-21 01:57:50.633444,EVT-72,J18,Political Rally,6207,2,2025-07-21 00:57:50.633444,2025-07-21 02:57:50.633444
2026-02-09 14:57:50.633444,EVT-73,J6,Protest,5354,2,2026-02-09 13:57:50.633444,2026-02-09 15:57:50.633444
2025-06-19 19:57:50.633444,EVT-74,J14,Sports,5806,3,2025-06-19 18:57:50.633444,2025-06-19 20:57:50.633444
2025-11-08 14:57:50.633444,EVT-75,J13,Sports,3684,1,2025-11-08 13:57:50.633444,2025-11-08 15:57:50.633444
2026-02-25 03:57:50.633444,EVT-76,J19,Sports,7416,2,2026-02-25 02:57:50.633444,2026-02-25 04:57:50.633444
2025-12-28 19:57:50.633444,EVT-77,J19,Sports,7142,3,2025-12-28 18:57:50.633444,2025-12-28 20:57:50.633444
2025-12-24 21:57:50.633444,EVT-78,J19,Political Rally,4509,2,2025-12-24 20:57:50.633444,2025-12-24 22:57:50.633444
2025-10-15 04:57:50.633444,EVT-79,J8,Sports,5238,2,2025-10-15 03:57:50.633444,2025-10-15 05:57:50.633444
2025-10-16 01:57:50.633444,EVT-80,J14,Political Rally,3479,1,2025-10-16 00:57:50.633444,2025-10-16 02:57:50.633444
2025-04-28 03:57:50.633444,EVT-81,J7,Sports,7774,3,2025-04-28 02:57:50.633444,2025-04-28 04:57:50.633444
2025-10-06 17:57:50.633444,EVT-82,J3,Concert,9337,1,2025-10-06 16:57:50.633444,2025-10-06 18:57:50.633444
2025-07-30 13:57:50.633444,EVT-83,J5,Sports,5747,1,2025-07-30 12:57:50.633444,2025-07-30 14:57:50.633444
2026-02-18 17:57:50.633444,EVT-84,J13,Concert,526,1,2026-02-18 16:57:50.633444,2026-02-18 18:57:50.633444
2025-08-16 17:57:50.633444,EVT-85,J15,Concert,7722,3,2025-08-16 16:57:50.633444,2025-08-16 18:57:50.633444
2025-04-14 14:57:50.633444,EVT-86,J6,Sports,7084,3,2025-04-14 13:57:50.633444,2025-04-14 15:57:50.633444
2026-03-18 02:57:50.633444,EVT-87,J16,Political Rally,4925,2,2026-03-18 01:57:50.633444,2026-03-18 03:57:50.633444
2025-11-14 15:57:50.633444,EVT-88,J17,Protest,9947,3,2025-11-14 14:57:50.633444,2025-11-14 16:57:50.633444
2025-09-25 02:57:50.633444,EVT-89,J8,Protest,9512,3,2025-09-25 01:57:50.633444,2025-09-25 03:57:50.633444
2025-09-22 03:57:50.633444,EVT-90,J11,Protest,2933,1,2025-09-22 02:57:50.633444,2025-09-22 04:57:50.633444
2025-07-29 01:57:50.633444,EVT-91,J20,Political Rally,8561,1,2025-07-29 00:57:50.633444,2025-07-29 02:57:50.633444
2026-01-21 10:57:50.633444,EVT-92,J16,Sports,1850,1,2026-01-21 09:57:50.633444,2026-01-21 11:57:50.633444
2026-02-17 11:57:50.633444,EVT-93,J14,Sports,2916,3,2026-02-17 10:57:50.633444,2026-02-17 12:57:50.633444
2025-09-08 06:57:50.633444,EVT-94,J5,Sports,1689,2,2025-09-08 05:57:50.633444,2025-09-08 07:57:50.633444
2025-12-01 01:57:50.633444,EVT-95,J15,Protest,9935,3,2025-12-01 00:57:50.633444,2025-12-01 02:57:50.633444
2025-11-03 21:57:50.633444,EVT-96,J1,Political Rally,8852,2,2025-11-03 20:57:50.633444,2025-11-03 22:57:50.633444
2025-09-26 09:57:50.633444,EVT-97,J13,Protest,8550,2,2025-09-26 08:57:50.633444,2025-09-26 10:57:50.633444
2025-05-20 17:57:50.633444,EVT-98,J12,Political Rally,3557,2,2025-05-20 16:57:50.633444,2025-05-20 18:57:50.633444
2025-10-18 13:57:50.633444,EVT-99,J2,Political Rally,4152,3,2025-10-18 12:57:50.633444,2025-10-18 14:57:50.633444
